customer_id,customer_name,email,registration_date,customer_type
1,customer_1,customer_1@gmail.com,2023-09-20 00:00:00,REGULAR
2,customer_2,customer_2@yahoo.com,2023-03-03 00:00:00,VIP
3,customer_3,customer_3@yahoo.com,2023-01-10 00:00:00,VIP
4,customer_4,customer_4@outlook.com,2024-05-24 00:00:00,VIP
5,customer_5,customer_5@outlook.com,2024-10-20 00:00:00,REGULAR
6,customer_6,customer_6@gmail.com,28-07-2024 00:00:00,VIP
7,customer_7,customer_7@outlook.com,2024-07-09 00:00:00,VIP
8,customer_8,customer_8@gmail.com,2024-06-29 00:00:00,VIP
9,customer_9,customer_9@outlook.com,2023-10-31 00:00:00,VIP
10,customer_10,customer_10@gmail.com,2023-04-02 00:00:00,PREMIUM
11,customer_11,customer_11@outlook.com,2024-04-23 00:00:00,PREMIUM
12,customer_12,customer_12@outlook.com,2024-04-06 00:00:00,REGULAR
13,customer_13,customer_13@gmail.com,2024-10-13 00:00:00,REGULAR
14,customer_14,customer_14@outlook.com,2024-04-18 00:00:00,REGULAR
15,customer_15,customer_15@outlook.com,2023-05-13 00:00:00,REGULAR
16,customer_16,customer_16@outlook.com,2023-10-18 00:00:00,REGULAR
17,customer_17,customer_17@yahoo.com,2023-10-24 00:00:00,VIP
18,customer_18,customer_18@yahoo.com,2024-10-16 00:00:00,PREMIUM
19,customer_19,customer_19@outlook.com,2023-10-28 00:00:00,PREMIUM
20,customer_20,customer_20@outlook.com,2024-01-22 00:00:00,PREMIUM
21,customer_21,customer_21@yahoo.com,2023-01-21 00:00:00,REGULAR
22,customer_22,customer_22@outlook.com,2023-08-31 00:00:00,PREMIUM
23,customer_23,customer_23@outlook.com,2023-09-11 00:00:00,PREMIUM
24,customer_24,customer_24@yahoo.com,2023-12-10 00:00:00,VIP
25,customer_25,customer_25@gmail.com,05-05-2024 00:00:00,PREMIUM
26,customer_26,customer_26@gmail.com,2023-08-27 00:00:00,REGULAR
27,customer_27,customer_27@outlook.com,2023-05-14 00:00:00,PREMIUM
28,customer_28,customer_28@gmail.com,08-03-2024 00:00:00,PREMIUM
29,customer_29,customer_29@gmail.com,2024-11-07 00:00:00,VIP
30,customer_30,customer_30@gmail.com,2024-02-13 00:00:00,PREMIUM
31,customer_31,customer_31@gmail.com,2023-11-07 00:00:00,VIP
32,customer_32,customer_32@gmail.com,2023-11-24 00:00:00,PREMIUM
33,customer_33,customer_33@outlook.com,2024-11-05 00:00:00,VIP
34,customer_34,customer_34@gmail.com,2024-11-19 00:00:00,REGULAR
35,customer_35,customer_35@gmail.com,2024-03-07 00:00:00,PREMIUM
36,customer_36,customer_36@outlook.com,26-06-2023 00:00:00,PREMIUM
37,customer_37,customer_37@yahoo.com,2023-08-19 00:00:00,REGULAR
38,customer_38,customer_38@gmail.com,2023-11-05 00:00:00,VIP
